Index,A,B,C,D
0,78,90,44,34
1,25,59,62,43
2,39,1,23,32
3,82,12,30,30
4,13,25,26,95
5,64,57,58,80
6,63,74,49,53
7,62,12,5,36
8,86,1,54,37
9,2,97,83,4
10,75,38,18,9
11,98,40,48,71
12,79,51,97,69
13,93,97,18,53
14,68,35,81,18
15,99,15,52,29
16,34,20,71,77
17,17,11,23,74
18,19,34,70,61
19,45,96,95,20
20,0,55,9,79
21,57,98,48,70
22,24,47,10,73
23,89,74,15,74
24,44,39,10,45
25,48,43,31,61
26,72,28,18,40
27,69,51,34,72
28,9,20,31,47
29,77,12,1,46
30,94,88,70,72
31,75,99,82,61
32,99,87,99,27
33,35,54,73,34
34,40,36,18,93
35,69,34,81,4
36,54,88,68,96
37,67,36,35,34
38,39,67,39,67
39,83,47,2,71
40,37,66,81,40
41,34,39,18,18
42,51,35,13,16
43,14,2,47,19
44,77,1,13,39
45,38,41,67,57
46,38,32,53,68
47,10,50,94,6
48,9,91,41,7
49,88,56,38,30
50,92,50,25,1
51,64,73,93,59
52,88,72,48,69
53,79,79,77,22
54,91,66,45,89
55,7,12,10,61
56,51,84,97,4
57,15,81,85,99
58,93,35,51,32
59,17,34,63,18
60,83,78,71,87
61,85,66,77,71
62,18,11,98,26
63,98,79,12,15
64,90,85,63,27
65,1,61,10,80
66,92,52,99,64
67,39,49,50,25
68,32,6,67,92
69,87,16,42,99
70,78,14,8,64
71,3,45,90,3
72,4,15,13,9
73,28,19,74,5
74,61,96,33,7
75,51,43,97,1
76,47,66,79,87
77,40,62,6,90
78,43,90,17,75
79,24,0,38,14
80,77,70,99,5
81,84,69,69,95
82,59,13,13,52
83,38,10,89,2
84,83,83,73,9
85,86,49,29,62
86,57,78,26,68
87,92,43,52,98
88,80,85,17,35
89,66,76,26,85
90,65,77,37,23
91,14,97,84,68
92,14,27,20,82
93,2,79,51,17
94,63,16,9,52
95,98,29,36,30
96,20,60,53,3
97,44,89,99,24
98,24,6,6,46
99,76,23,20,64
